node_id,sample_id,track,operation,tensor_name,shape,dtype,device,min,max,mean,std,source_file,source_function,notes
B07,6081,low_true_rq,normalize morphology to unit Rq,unit_rq_morphology,"[256, 256]",float32,cpu,-3.93565273285,3.05317878723,-5.99671348689e-09,0.999998952738,rq_disentanglement.py,unit_shape/project_unit_rq_np,
B08,6081,low_true_rq,rescale one source morphology to q10/q50/q90 amplitudes,representative_afm_q10_q50_q90,"[3, 256, 256]",float32,cpu,-19.5876865387,15.1956262589,-1.61348254248e-08,3.29743886316,rq_disentanglement.py,physical_from_q,q10/q50/q90 share the same selected source morphology; only amplitude differs
A01,6099,high_true_rq,read source keyframe PNG,raw_png_rgb,"[1920, 1080, 3]",uint8,cpu,0,150,10.7319200103,25.0713254158,clip_cache.py,frame_path/luminance_uint8,/Users/ziyi/Desktop/LAB/code/data/rheed_keyframe_selection/6099/videos/ramping to 650C/frames/62.png
A02,6099,high_true_rq,convert RGB to luminance,grayscale_uint8,"[1920, 1080]",uint8,cpu,0,57,4.5975617284,6.67628259312,clip_cache.py,luminance_uint8,
A03,6099,high_true_rq,manual ROI crop,roi_crop_uint8,"[783, 550]",uint8,cpu,0,40,14.2862719145,5.79369906797,clip_cache.py,build_clip_cache/_read_variant_frames,"xywh=[360, 481, 550, 783]"
A04,6099,high_true_rq,resize ROI and zero-pad to square,keyframe_1_frames_uint8,"[1, 224, 224]",uint8,cpu,0,38,10.0108418367,8.13885947799,phase2_clip_variants.py,_read_variant_frames/build_clip_variants,/Users/ziyi/Desktop/LAB/code/outputs/rheed_video_afm_story/phase2a/clip_variants/keyframe_1/6099.npz
A05,6099,high_true_rq,"scale uint8 to [0,1] and duplicate luminance to RGB",dino_rgb_float,"[1, 3, 224, 224]",float32,cpu,0,0.149019613862,0.0392582045626,0.0319170970762,pretrained_embeddings.py,preprocess_frames,
A06,6099,high_true_rq,ImageNet normalization,dino_normalized_input,"[1, 3, 224, 224]",float32,cpu,-2.11790394783,-1.14213490486,-1.81229623171,0.194437576883,pretrained_embeddings.py,preprocess_frames,"DINO input shape [T=1,C=3,H=224,W=224]"
A07,6099,high_true_rq,DINOv2 ViT-S/14 patch projection,dino_patch_tokens,"[1, 256, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,load_dino,"shape recovered from dinov2_vits14 identifier: 224/14=16, 16*16=256 patches"
A08,6099,high_true_rq,prepend CLS token and transformer blocks,dino_token_sequence,"[1, 257, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,load_dino,upstream DINO weights are not copied in freeze; tensor values are not re-executed
A09,6099,high_true_rq,DINO CLS/frame embedding,dino_cls_output,"[1, 384]",float32,cpu,0,0,0,0,pretrained_embeddings.py,extract_embeddings,shape recovered from DINO ViT-S/14; values not serialized separately
A10,6099,high_true_rq,temporal aggregation mean/std/delta/slope,final_rheed_embedding,"[1, 1536]",float32,cpu,-9.88369560242,6.03349494934,0.0168893780792,1.20167697018,pretrained_embeddings.py,temporal_aggregate,keyframe_1 final dim = 4 * 384 = 1536; std/delta/slope components are zero for T=1
Q01,6099,high_true_rq,member feature scaling,feature_scaler_outputs,"[5, 1536]",float32,cpu,-2.92627263069,2.69059300423,0.0024450724964,0.579049438164,build_final_paper_freeze.py,fit_full_cohort_quantitative,one row per ensemble member
Q02,6099,high_true_rq,ridge member scalar outputs,ensemble_member_outputs,[5],float32,cpu,10.2323141098,10.8271188736,10.4702360153,0.291393633574,build_final_paper_freeze.py,fit_full_cohort_quantitative,
Q03,6099,high_true_rq,median aggregation,full_cohort_predicted_rq_q50,[1],float32,cpu,10.2323141098,10.2323141098,10.2323141098,0,build_final_paper_freeze.py,fit_full_cohort_quantitative,full-cohort in-sample for historical samples; not test performance
Q04,6099,high_true_rq,strict OOF fold prediction,strict_oof_predicted_rq_q50,[1],float32,cpu,3.72547078133,3.72547078133,3.72547078133,0,run_phase6a.py,finalists/ensemble_oof_predictions,fold coefficients are not serialized in freeze
Q05,6099,high_true_rq,strict interval quantiles,strict_q10_q50_q90,[3],float32,cpu,1.48361074924,5.2685842514,3.37609748046,1.54520896171,run_phase7a.py,build_conditions,
B01,6099,high_true_rq,assemble predicted descriptor vector,predicted_descriptor_vector,"[1, 11]",float64,cpu,-3.63179680257,24.1566332905,4.67969678526,8.16969184728,run_phase7a.py,condition_for/condition_vector,"rq_nm,ra_nm,robust_height_range_nm,psd_low_fraction,psd_mid_fraction,psd_high_fraction,psd_slope,correlation_length_nm,anisotropy,height_skewness,height_kurtosis"
B02,6099,high_true_rq,load prototype probabilities,prototype_probabilities,"[1, 3]",float32,cpu,0.0500000007451,0.899999976158,0.333333325883,0.400693831082,run_phase7a.py,build_conditions,
B03,6099,high_true_rq,strict OOF representative candidate descriptor bank excluding held-out sample,afm_candidate_matrix,"[22, 11]",float32,cpu,-4.59267902374,149.019607544,5.77732874784,14.4063662918,run_phase7a.py,source_rows/rank_sources,
B04,6099,high_true_rq,A3 distance vector,a3_distance_vector,[22],float32,cpu,2.16219830513,7.47722625732,4.38716774637,1.33610005772,run_phase7a.py,rank_sources,sqrt(sum(((candidate-condition)/std(candidate_bank))^2)) + 0.05*abs(candidate_rq-condition_rq)
B05,6099,high_true_rq,select minimum A3 distance with sample_id/scan_id tie-break,selected_source_index,[1],int32,cpu,0,0,0,0,run_phase7a.py,rank_sources/synthesize,source=6047 scan=N6047_1um_008
B06,6099,high_true_rq,load selected historical source AFM,source_afm_centered_nm,"[256, 256]",float32,cpu,-22.3583488464,18.429649353,-1.41660621011e-08,4.69486044279,run_phase7a.py,read_map/resize_center,data/afm_second_order/6047/N6047_1um_008/N6047_1um_008_height.npy
B07,6099,high_true_rq,normalize morphology to unit Rq,unit_rq_morphology,"[256, 256]",float32,cpu,-4.76229906082,3.92549061775,-2.05681471854e-09,0.999999043808,rq_disentanglement.py,unit_shape/project_unit_rq_np,
B08,6099,high_true_rq,rescale one source morphology to q10/q50/q90 amplitudes,representative_afm_q10_q50_q90,"[3, 256, 256]",float32,cpu,-25.0905742645,20.6817779541,-6.80602888862e-09,3.71290702435,rq_disentanglement.py,physical_from_q,q10/q50/q90 share the same selected source morphology; only amplitude differs
