row_id,sample_id,group_id,split,network_input_path,source_network_input_path,descriptor_height_path,source_path,source_kind,scan_size_um,sample_id_rule,group_id_rule,height_shape
afm_00015_b1b264d3a1,6065,6065,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00015_b1b264d3a1.npy,,data/plane_corrected_afm/6065/N65_Edg_001/N65_Edg_001_plane_corrected.npy,data/plane_corrected_afm/6065/N65_Edg_001/N65_Edg_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00016_2c24d35aaa,6066,6066,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00016_2c24d35aaa.npy,,data/plane_corrected_afm/6066/N66_Edg_001/N66_Edg_001_plane_corrected.npy,data/plane_corrected_afm/6066/N66_Edg_001/N66_Edg_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00017_eb55d4cc32,6067,6067,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00017_eb55d4cc32.npy,,data/plane_corrected_afm/6067/N6059_1um_004/N6059_1um_004_plane_corrected.npy,data/plane_corrected_afm/6067/N6059_1um_004/N6059_1um_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00018_296832d830,6068,6068,val,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00018_296832d830.npy,,data/plane_corrected_afm/6068/N68_Ctr_005/N68_Ctr_005_plane_corrected.npy,data/plane_corrected_afm/6068/N68_Ctr_005/N68_Ctr_005_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00019_da090957f7,6070,6070,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00019_da090957f7.npy,,data/plane_corrected_afm/6070/N69_Edg_002/N69_Edg_002_plane_corrected.npy,data/plane_corrected_afm/6070/N69_Edg_002/N69_Edg_002_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00020_a424770817,6072,6072,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00020_a424770817.npy,,data/plane_corrected_afm/6072/N6072_1um_002/N6072_1um_002_plane_corrected.npy,data/plane_corrected_afm/6072/N6072_1um_002/N6072_1um_002_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00021_d59786b32d,6073,6073,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00021_d59786b32d.npy,,data/plane_corrected_afm/6073/N73_ctr_001/N73_ctr_001_plane_corrected.npy,data/plane_corrected_afm/6073/N73_ctr_001/N73_ctr_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00022_ccd7c49224,6078,6078,val,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00022_ccd7c49224.npy,,data/plane_corrected_afm/6078/N74_ctr_004/N74_ctr_004_plane_corrected.npy,data/plane_corrected_afm/6078/N74_ctr_004/N74_ctr_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00023_4ec77f0643,6080,6080,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00023_4ec77f0643.npy,,data/plane_corrected_afm/6080/N80_Edg_000/N80_Edg_000_plane_corrected.npy,data/plane_corrected_afm/6080/N80_Edg_000/N80_Edg_000_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00024_02882b2778,6081,6081,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00024_02882b2778.npy,,data/plane_corrected_afm/6081/N81_Edg_000/N81_Edg_000_plane_corrected.npy,data/plane_corrected_afm/6081/N81_Edg_000/N81_Edg_000_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00025_debcd2803c,6082,6082,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00025_debcd2803c.npy,,data/plane_corrected_afm/6082/N6082_1um_002/N6082_1um_002_plane_corrected.npy,data/plane_corrected_afm/6082/N6082_1um_002/N6082_1um_002_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00026_b09d4e118e,6084,6084,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00026_b09d4e118e.npy,,data/plane_corrected_afm/6084/N6084_1um_006/N6084_1um_006_plane_corrected.npy,data/plane_corrected_afm/6084/N6084_1um_006/N6084_1um_006_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00027_7ff2734851,6085,6085,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00027_7ff2734851.npy,,data/plane_corrected_afm/6085/N6085_1um_003/N6085_1um_003_plane_corrected.npy,data/plane_corrected_afm/6085/N6085_1um_003/N6085_1um_003_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00028_4f8516eafb,6087,6087,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00028_4f8516eafb.npy,,data/plane_corrected_afm/6087/N87_Ctr_001/N87_Ctr_001_plane_corrected.npy,data/plane_corrected_afm/6087/N87_Ctr_001/N87_Ctr_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00029_5af47546a7,6088,6088,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00029_5af47546a7.npy,,data/plane_corrected_afm/6088/N88_Ctr_002/N88_Ctr_002_plane_corrected.npy,data/plane_corrected_afm/6088/N88_Ctr_002/N88_Ctr_002_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00030_e9d498a7d5,6090,6090,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00030_e9d498a7d5.npy,,data/plane_corrected_afm/6090/N6090_1um_002/N6090_1um_002_plane_corrected.npy,data/plane_corrected_afm/6090/N6090_1um_002/N6090_1um_002_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00031_c512e3b32c,6093,6093,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00031_c512e3b32c.npy,,data/plane_corrected_afm/6093/N6093_1um_003/N6093_1um_003_plane_corrected.npy,data/plane_corrected_afm/6093/N6093_1um_003/N6093_1um_003_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00032_1367119090,6094,6094,val,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00032_1367119090.npy,,data/plane_corrected_afm/6094/N6094_1um_000/N6094_1um_000_plane_corrected.npy,data/plane_corrected_afm/6094/N6094_1um_000/N6094_1um_000_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00033_abd918912b,6095,6095,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00033_abd918912b.npy,,data/plane_corrected_afm/6095/N6095_1um_006/N6095_1um_006_plane_corrected.npy,data/plane_corrected_afm/6095/N6095_1um_006/N6095_1um_006_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00034_246229e6b5,6097,6097,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00034_246229e6b5.npy,,data/plane_corrected_afm/6097/N6097_2um_008/N6097_2um_008_plane_corrected.npy,data/plane_corrected_afm/6097/N6097_2um_008/N6097_2um_008_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
afm_00035_c98c41e489,6099,6099,test,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00035_c98c41e489.npy,,data/plane_corrected_afm/6099/N6099_1um_004/N6099_1um_004_plane_corrected.npy,data/plane_corrected_afm/6099/N6099_1um_004/N6099_1um_004_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,512x512
afm_00036_b9f6601fd1,6101,6101,train,reports/conditional_latent_diffusion_mvp/20260703_041331/data_limit64/standardized_tensors/afm_00036_b9f6601fd1.npy,,data/plane_corrected_afm/6101/N6101_5um_001/N6101_5um_001_plane_corrected.npy,data/plane_corrected_afm/6101/N6101_5um_001/N6101_5um_001_plane_corrected.npy,physical_height,1,column:sample_id,column:group_id,256x256
