anonymous_review_id,spot_detection,row_grouping,lattice_indexing,missing_site_handling,adjacent_pair_selection,pair_corridors,background_correction,overall_measurement,severe_saturation,severe_background_artifact,severe_crop,unusable_pattern,reviewer_notes
RPSA_AK_gpoglmif,partial,fail,fail,uncertain,partial,partial,partial,fail,no,yes,yes,no,"Most bright spots are visually present and many are detected, but several broad spots receive duplicate/overlapping labels and the inferred row/site indices are inconsistent. The more isolated real pattern is not converted into trustworthy adjacent-pair topology. Local measurements may be possible after manual filtering, but the frozen sample-level measurement fails. Background correction remains visibly contoured and the right edge is cropped."
RPSA_AL_cednjlle,fail,fail,fail,uncertain,fail,fail,partial,fail,yes,yes,yes,no,Most visible diffraction spots are not represented by reliable detections. The overlay concentrates several labels near one top-right feature and produces no trustworthy adjacent-pair topology. Background correction has strong contour/ringing artifacts. The raw pattern remains human-interpretable.
RPSA_AM_ignmbald,partial,fail,fail,uncertain,partial,partial,fail,partial,yes,yes,yes,no,"Several true bright features are detected, and a few local pair proposals are plausible, but detections and r:k labels are crowded or duplicated around broad streaks. Global row/lattice reconstruction is unreliable. The corrected panel is strongly washed out and contoured."
RPSA_AN_kkpegilo,partial,fail,fail,uncertain,partial,partial,fail,fail,yes,yes,yes,no,"Multiple real spots are found, but several labels overlap around the same broad maxima and many physical rows are not recovered consistently. Pair topology and site indexing are not dependable. Strong diffuse illumination and contour artifacts remain after correction."
RPSA_AO_jfhdfopo,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"Most prominent two-column spot structures are detected and some same-row grouping is plausible. However, site indices are inconsistent, duplicate labels occur near lower rows, and only a subset of adjacent pairs is trustworthy. Background correction is usable but visibly contoured."
RPSA_AP_hkhclmge,fail,fail,fail,uncertain,fail,fail,fail,fail,yes,yes,yes,no,"The image is strongly washed out and only a small fraction of visible spots is retained. The recovered rows/sites do not represent the full pattern, and no reliable adjacent-pair measurement is apparent. Human visual inspection remains possible but with low contrast."
RPSA_AQ_hobhbdmi,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"Many true spots are detected and several row relationships are plausible, but duplicate/overlapping labels and inconsistent site indices remain. Some local pairs may be usable; the complete row-lattice representation is not reliable."
RPSA_AR_jajjnhge,partial,partial,fail,uncertain,partial,partial,partial,partial,uncertain,yes,yes,no,"The full QC view confirms several genuine spot rows and some usable local pairs. Nevertheless, clustered labels, duplicate-looking detections, and inconsistent lattice indices make the global measurement unreliable. Strong halo remains around the right-side features."
RPSA_AS_gcncpghp,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"Most prominent features are represented, but several physical rows contain overlapping labels and implausible site-index assignments. A limited number of local pair proposals are plausible; global quantitative adhesion remains uncertain."
RPSA_AT_ahnabkeh,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"The detector captures a meaningful subset of visible spots and some same-row relationships, but repeated labels and inconsistent k indices remain. Local pair measurements may be usable after filtering; the frozen full-pattern reconstruction is not dependable."
RPSA_AU_ghfpcpef,partial,fail,fail,uncertain,partial,partial,fail,fail,yes,yes,yes,no,"The pattern is heavily washed out and labels cluster around broad central/right features. Some pair crops remain visually interpretable, but full-image row and lattice inference is not reliable. Background correction retains strong contouring and diffuse contamination."
RPSA_AV_labgkhbe,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"A substantial subset of spots is correctly localized and several local row relationships are plausible. Site indices and duplicate detections remain inconsistent, so only selected local pairs—not the whole pattern—appear usable."
RPSA_AW_caaiphfb,partial,partial,partial,uncertain,partial,partial,fail,partial,yes,yes,yes,no,"Despite strong washout, several rows receive plausible paired site assignments and at least one lower pair corridor appears coherent. Other spots are missed and the corrected image is unstable. This is only partially usable."
RPSA_AX_immkljfi,partial,partial,fail,uncertain,partial,partial,partial,partial,no,yes,yes,no,"The more isolated spot pattern is largely visible to the detector, but many spots are assigned as separate rows/sites and several pair relations are missed or indexed implausibly. Some local measurements remain possible."
RPSA_AY_kfiiknbk,partial,partial,fail,uncertain,partial,partial,partial,partial,yes,yes,yes,no,"The full image contains strong horizontal streak/bridge structures, and some selected local pairs are meaningful. However, labels cluster on broad features and lattice indices are inconsistent; the frozen global topology remains unreliable."
