sample_id,source_video_relpath,role,relative_offset,source_frame_index_0based,estimated_timestamp_sec,frame_stride
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+6,626,62.6,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+7,627,62.7,1
N6358,data/compressedfile/N6358/After rampdown to 200C.mpg,after,+8,628,62.8,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-8,151,15.1,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-7,152,15.2,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-6,153,15.3,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-5,154,15.4,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-4,155,15.5,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-3,156,15.6,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-2,157,15.7,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,before,-1,158,15.8,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,keyframe,0,159,15.9,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+1,160,16.0,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+2,161,16.1,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+3,162,16.2,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+4,163,16.3,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+5,164,16.4,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+6,165,16.5,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+7,166,16.6,1
N6382,data/compressedfile/N6382/Rampdown to 200C.mpg,after,+8,167,16.7,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-8,592,59.2,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-7,593,59.3,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-6,594,59.4,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-5,595,59.5,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-4,596,59.6,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-3,597,59.7,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-2,598,59.8,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,before,-1,599,59.9,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,keyframe,0,600,60.0,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+1,601,60.1,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+2,602,60.2,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+3,603,60.3,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+4,604,60.4,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+5,605,60.5,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+6,606,60.6,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+7,607,60.7,1
N6389,data/compressedfile/N6389/Rampdown to 300C.mpg,after,+8,608,60.8,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-8,129,12.9,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-7,130,13.0,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-6,131,13.1,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-5,132,13.2,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-4,133,13.3,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-3,134,13.4,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-2,135,13.5,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,before,-1,136,13.6,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,keyframe,0,137,13.7,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+1,138,13.8,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+2,139,13.9,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+3,140,14.0,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+4,141,14.1,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+5,142,14.2,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+6,143,14.3,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+7,144,14.4,1
N6390,data/compressedfile/N6390/rampdon to 200c.mpg,after,+8,145,14.5,1
